City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,semirom,31.4167,51.5667,17.37,54,40,1.78,IR,Tue Aug  8 21:56:16 2023
1,yellowknife,62.456,-114.3525,20.29,45,75,5.66,CA,Tue Aug  8 21:56:16 2023
2,waitangi,-43.9535,-176.5597,9.34,82,100,1.34,NZ,Tue Aug  8 21:56:16 2023
3,ushuaia,-54.8,-68.3,1.81,75,0,1.54,AR,Tue Aug  8 21:51:25 2023
4,iqaluit,63.7506,-68.5145,4.85,86,20,4.12,CA,Tue Aug  8 21:53:05 2023
5,albany,42.6001,-73.9662,20.45,85,97,2.24,US,Tue Aug  8 21:56:17 2023
6,scarborough,54.2797,-0.4044,11.48,84,100,1.34,GB,Tue Aug  8 21:53:31 2023
7,lata,40.1629,-8.3327,20.51,88,0,0.96,PT,Tue Aug  8 21:56:19 2023
8,alfeld,51.9838,9.8199,14.21,96,100,0.89,DE,Tue Aug  8 21:56:19 2023
9,vilyuchinsk,52.9306,158.4028,23.15,54,69,2.16,RU,Tue Aug  8 21:56:19 2023
10,adamstown,-25.066,-130.1015,22.23,85,95,15.43,PN,Tue Aug  8 21:56:20 2023
11,puerto natales,-51.7236,-72.4875,2.26,95,100,1.91,CL,Tue Aug  8 21:56:20 2023
12,edinburgh of the seven seas,-37.0676,-12.3116,12.29,71,100,11.32,SH,Tue Aug  8 21:53:08 2023
13,hithadhoo,-0.6,73.0833,27.46,75,42,2.3,MV,Tue Aug  8 21:56:20 2023
14,ta'if,21.2703,40.4158,25.56,16,6,4.91,SA,Tue Aug  8 21:56:21 2023
15,wailua homesteads,22.0669,-159.378,33.24,78,100,9.77,US,Tue Aug  8 21:56:22 2023
16,grytviken,-54.2811,-36.5092,-1.85,91,31,4.6,GS,Tue Aug  8 21:56:22 2023
17,port-aux-francais,-49.35,70.2167,1.65,72,45,6.0,TF,Tue Aug  8 21:53:02 2023
18,songea,-10.6833,35.65,13.24,76,37,1.4,TZ,Tue Aug  8 21:56:23 2023
19,codrington,-38.2667,141.9667,15.44,61,0,9.08,AU,Tue Aug  8 21:56:23 2023
20,inhambane,-23.865,35.3833,19.33,74,24,4.51,MZ,Tue Aug  8 21:56:24 2023
21,hawaiian paradise park,19.5933,-154.9731,28.73,71,75,4.63,US,Tue Aug  8 21:53:10 2023
22,aasiaat,68.7098,-52.8699,2.6,75,100,1.5,GL,Tue Aug  8 21:54:07 2023
23,isafjordur,66.0755,-23.124,9.56,62,14,1.77,IS,Tue Aug  8 21:56:25 2023
24,oamaru,-45.0784,170.9801,7.99,73,98,8.61,NZ,Tue Aug  8 21:56:25 2023
25,ghat,24.9647,10.1728,30.83,24,6,3.63,LY,Tue Aug  8 21:56:25 2023
26,recco,44.3623,9.1435,22.16,55,100,1.66,IT,Tue Aug  8 21:56:26 2023
27,anadyr,64.75,177.4833,11.28,87,100,6.71,RU,Tue Aug  8 21:56:26 2023
28,katsuren-haebaru,26.3369,127.8719,29.43,93,75,6.69,JP,Tue Aug  8 21:56:26 2023
